CustomerID,CompanyName,SalesPerson
101,Urban Sports Emporium,adventure-works\josé1
102,National Manufacturing,adventure-works\garrett1
106,West Side Mart,adventure-works\jae0
109,Travel Sports,adventure-works\pamela0
110,Vintage Sport Boutique,adventure-works\david8
111,Westside Cycle Store,adventure-works\jillian0
112,Town Industries,adventure-works\jillian0
113,Trendy Department Stores,adventure-works\shu0
114,Two Wheels Cycle Store,adventure-works\linda3
115,Security Racks and Locks Wholesalers,adventure-works\shu0
118,Rapid Bikes,adventure-works\josé1
119,Red Bicycle Company,adventure-works\josé1
120,Machines & Cycles Store,adventure-works\garrett1
124,Nearby Sporting Goods,adventure-works\jae0
127,Front Sporting Goods,adventure-works\pamela0
128,Demand Distributors,adventure-works\david8
129,Discount Bicycle Specialists,adventure-works\jillian0
130,Elite Bikes,adventure-works\jillian0
131,Eighth Bike Store,adventure-works\shu0
132,Another Sporting Goods Company,adventure-works\linda3
133,Commercial Sporting Goods,adventure-works\shu0
136,Wholesale Parts,adventure-works\josé1
137,Transportation Options,adventure-works\josé1
138,South Bike Company,adventure-works\garrett1
142,Riding Cycles,adventure-works\jae0
145,Raw Materials Inc,adventure-works\pamela0
146,Latest Sports Equipment,adventure-works\david8
147,Local Hardware Factory,adventure-works\jillian0
148,Lots of Bikes Storehouse,adventure-works\jillian0
149,Initial Bike Company,adventure-works\shu0
150,Fleet Bikes,adventure-works\linda3
151,Futuristic Bikes,adventure-works\shu0
154,Camping and Sports Store,adventure-works\josé1
155,Corner Bicycle Supply,adventure-works\josé1
156,Metal Processing Company,adventure-works\garrett1
160,Vigorous Sports Store,adventure-works\jae0
163,Sports Merchandise,adventure-works\pamela0
164,Suburban Cycle Shop,adventure-works\david8
165,Third Bike Store,adventure-works\jillian0
166,Fitness Toy Store,adventure-works\jillian0
167,Farthermost Bike Shop,adventure-works\shu0
168,Economy Bikes Company,adventure-works\linda3
169,Downtown Hotel,adventure-works\shu0
172,Certified Sports Supply,adventure-works\josé1
173,Sundry Sporting Goods,adventure-works\josé1
174,Toy Manufacturing Inc,adventure-works\garrett1
178,Rampart Amusement Company,adventure-works\jae0
180,Full-Service Bike Store,adventure-works\michael9
181,Family Entertainment Center,adventure-works\pamela0
182,Another Bicycle Company,adventure-works\david8
183,This Area Sporting Goods,adventure-works\jillian0
184,Go-cart and Bike Specialists,adventure-works\jillian0
185,Weekend Bike Tours,adventure-works\shu0
186,Thrilling Bike Tours,adventure-works\linda3
187,Trailblazing Sports,adventure-works\shu0
190,Racing Partners,adventure-works\josé1
191,Non-Slip Pedal Company,adventure-works\josé1
192,Nuts and Bolts Mfg.,adventure-works\garrett1
196,Exhibition Showroom,adventure-works\jae0
197,"Fabrikam Inc., West",adventure-works\michael9
198,Field Trip Inc,adventure-works\michael9
199,Authorized Bike Sales and Rental,adventure-works\pamela0
200,Basic Bike Company,adventure-works\david8
201,Unsurpassed Bikes,adventure-works\jillian0
202,Two-Seater Bikes,adventure-works\jillian0
203,Separate Parts Corporation,adventure-works\shu0
204,Traction Tire Company,adventure-works\linda3
205,Rally Master Company Inc,adventure-works\shu0
208,Professional Cyclists,adventure-works\josé1
209,Purple Bicycle Company,adventure-works\josé1
210,Gasless Cycle Shop,adventure-works\garrett1
214,Exclusive Bicycle Mart,adventure-works\jae0
217,City Manufacturing,adventure-works\pamela0
218,Sure & Reliable Sporting Goods,adventure-works\david8
219,Extras Sporting Goods,adventure-works\jillian0
220,Best o' Bikes,adventure-works\jillian0
221,Bike Dealers Association,adventure-works\shu0
222,Sample Bike Store,adventure-works\linda3
223,Paints and Solvents Company,adventure-works\shu0
226,Leisure Activities,adventure-works\josé1
227,"Health Spa, Limited",adventure-works\josé1
228,Home Town Bike Store,adventure-works\garrett1
232,Exceptional Cycle Services,adventure-works\jae0
235,Certified Bicycle Supply,adventure-works\pamela0
236,Closeout Boutique,adventure-works\david8
237,Client Discount Store,adventure-works\jillian0
238,A Great Bicycle Company,adventure-works\jillian0
239,Bicycle Merchandise Warehouse,adventure-works\shu0
240,Wire Baskets and Parts,adventure-works\linda3
241,Vale Riding Supplies,adventure-works\shu0
244,Retail Discount Store,adventure-works\josé1
245,Leather Seat Factory,adventure-works\josé1
246,Large Bike Shop,adventure-works\garrett1
250,Express Bike Services,adventure-works\jae0
253,Roving Sports,adventure-works\pamela0
254,Safe Cycles Shop,adventure-works\david8
255,Swift Cycles,adventure-works\jillian0
256,Rental Bikes,adventure-works\jillian0
257,Number 1 Supply,adventure-works\shu0
258,Quantity Discounts,adventure-works\linda3
259,Highway Bike Shop,adventure-works\shu0
262,General Industries,adventure-works\josé1
263,Farthest Bike Store,adventure-works\josé1
264,Fasteners & Bolts Outlet,adventure-works\garrett1
268,Channel Outlet,adventure-works\jae0
271,Alternative Vehicles,adventure-works\pamela0
272,Metro Cycle Shop,adventure-works\david8
273,A Typical Bike Shop,adventure-works\jillian0
274,Active Systems,adventure-works\jillian0
275,Outdoor Sporting Goods,adventure-works\shu0
276,Thrifty Parts and Sales,adventure-works\linda3
277,The Bicycle Accessories Company,adventure-works\shu0
280,Standard Bikes,adventure-works\josé1
281,Petroleum Products Distributors,adventure-works\josé1
282,Quick Parts and Service,adventure-works\garrett1
286,Number One Bike Co.,adventure-works\jae0
287,Handy Bike Services,adventure-works\michael9
288,Kickstand Sellers,adventure-works\michael9
289,Moderately-Priced Bikes Store,adventure-works\pamela0
290,Friendly Bike Shop,adventure-works\david8
291,Grand Bicycle Stores,adventure-works\jillian0
292,Grease and Oil Products Company,adventure-works\jillian0
293,Fashionable Bikes and Accessories,adventure-works\shu0
294,Flawless Bike Shop,adventure-works\linda3
295,Engineered Bike Systems,adventure-works\shu0
298,City Cycling,adventure-works\josé1
299,Citywide Service and Repair,adventure-works\josé1
300,Nice Bikes,adventure-works\garrett1
304,Essential Bike Works,adventure-works\jae0
306,Work and Play Association,adventure-works\michael9
307,Riding Associates,adventure-works\pamela0
308,Rugged Bikes,adventure-works\david8
309,The Gear Store,adventure-works\jillian0
310,Orange Bicycle Company,adventure-works\jillian0
311,Principal Bike Company,adventure-works\shu0
312,Resale Services,adventure-works\linda3
313,Metropolitan Manufacturing,adventure-works\shu0
316,Low Price Cycles,adventure-works\josé1
317,Finer Riding Supplies,adventure-works\josé1
318,First-Rate Outlet,adventure-works\garrett1
322,Tachometers and Accessories,adventure-works\jae0
323,Metro Bike Works,adventure-works\michael9
325,All Cycle Shop,adventure-works\pamela0
326,Year-Round Sports,adventure-works\david8
327,World of Bikes,adventure-works\jillian0
328,Totes & Baskets Company,adventure-works\jillian0
329,"Unicycles, Bicycles, and Tricycles",adventure-works\shu0
330,The New Bike Store,adventure-works\linda3
331,Technical Parts Manufacturing,adventure-works\shu0
334,Retreat Inn,adventure-works\josé1
335,Scratch-Resistant Finishes Company,adventure-works\josé1
336,Primary Bike Distributors,adventure-works\garrett1
340,Nearby Cycle Shop,adventure-works\jae0
343,Mail-Order Outlet,adventure-works\pamela0
344,Fifth Bike Store,adventure-works\david8
345,Genial Bike Associates,adventure-works\jillian0
346,Great Bicycle Supply,adventure-works\jillian0
347,Bike Universe,adventure-works\shu0
348,Bold Bike Accessories,adventure-works\linda3
349,Exercise Center,adventure-works\shu0
352,Twelfth Bike Store,adventure-works\josé1
353,Two-Wheeled Transit Company,adventure-works\josé1
354,Serious Cycles,adventure-works\garrett1
358,Mail Market,adventure-works\jae0
360,Novelty Bikes,adventure-works\michael9
361,Fitness Supplies,adventure-works\pamela0
362,Grand Cycle Store,adventure-works\david8
363,Immense Manufacturing Company,adventure-works\jillian0
364,District Mall,adventure-works\jillian0
365,Distinctive Store,adventure-works\shu0
366,Extended Bike Sales,adventure-works\linda3
367,Brown Bicycle Company,adventure-works\shu0
370,Acceptable Sales & Service,adventure-works\josé1
371,Custom Sales and Service,adventure-works\josé1
372,Top Bike Market,adventure-works\garrett1
376,Commerce Bicycle Specialists,adventure-works\jae0
377,Grand Sport Boutique,adventure-works\michael9
379,Fad Outlet,adventure-works\pamela0
380,First Department Stores,adventure-works\david8
381,Bicycle Lines Distributors,adventure-works\jillian0
382,Beneficial Exercises and Activities,adventure-works\jillian0
383,Vehicle Shop,adventure-works\shu0
384,Sparkling Paint and Finishes,adventure-works\linda3
385,Sturdy Toys,adventure-works\shu0
388,Road Way Sales and Rental,adventure-works\josé1
389,Sixth Bike Store,adventure-works\josé1
390,Plastic Parts Company,adventure-works\garrett1
394,Little Sports Center,adventure-works\jae0
395,Online Bike Sellers,adventure-works\michael9
397,Capable Sales and Service,adventure-works\pamela0
398,Commendable Bikes,adventure-works\david8
399,Big Cycle Mall,adventure-works\jillian0
400,Local Sales and Rental,adventure-works\jillian0
401,Brightwork Company,adventure-works\shu0
402,Pro Sporting Goods,adventure-works\linda3
403,Affordable Sports Equipment,adventure-works\shu0
406,The Commissary,adventure-works\josé1
407,Workout Emporium,adventure-works\josé1
408,Odometers and Accessories Company,adventure-works\garrett1
412,Leisure Clearing House,adventure-works\jae0
415,Imaginary Toys,adventure-works\pamela0
416,Impromptu Trips,adventure-works\david8
417,Genuine Bike Shop,adventure-works\jillian0
418,Good Bike Shop,adventure-works\jillian0
419,Exertion Activities Club,adventure-works\shu0
420,Extreme Riding Supplies,adventure-works\linda3
421,Fitness Cycling,adventure-works\shu0
424,Bikes for Two,adventure-works\josé1
425,Bikes for Kids and Adults,adventure-works\josé1
426,Custom Accessories Company,adventure-works\garrett1
430,Uttermost Bike Shop,adventure-works\jae0
431,Small Cycle Store,adventure-works\michael9
433,Thorough Parts and Repair Services,adventure-works\pamela0
434,Road-Way Mart,adventure-works\david8
435,Satin Finish Company,adventure-works\jillian0
436,Sheet Metal Manufacturing,adventure-works\jillian0
437,Professional Cycle Store,adventure-works\shu0
438,Remarkable Bike Store,adventure-works\linda3
439,Regional Manufacturing,adventure-works\shu0
442,Original Bicycle Supply Company,adventure-works\josé1
443,Courteous Bicycle Specialists,adventure-works\josé1
444,Finer Cycle Shop,adventure-works\garrett1
448,Action Bicycle Specialists,adventure-works\jae0
451,Roadway Bike Emporium,adventure-works\pamela0
452,A Cycle Shop,adventure-works\david8
453,Unique Bikes,adventure-works\jillian0
454,Sleek Bikes ,adventure-works\jillian0
455,Timely Shipping Service,adventure-works\shu0
456,Riding Excursions,adventure-works\linda3
457,Retail Sporting Equipment,adventure-works\shu0
460,Price-Cutter Discount Bikes,adventure-works\josé1
461,Active Life Toys,adventure-works\josé1
462,General Riding Supplies,adventure-works\garrett1
466,Central Bicycle Specialists,adventure-works\jae0
468,Blue Bicycle Company,adventure-works\michael9
